isbn,original_title,author,original_publication_year,num_pages,genres,image_url,avg_rating,similar_books
778315916,Come Home to Me,Brenda Novak,2014,416,"romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"21868098, 18342936"
553586246,Spin State,Chris Moriarty,2003,642,"fiction, mystery, thriller, crime, fantasy, paranormal, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"977217, 179436"
394825993,The Shadow in the Plate,Philip Pullman,1986,361,"fiction, history, historical fiction, biography, young-adult, romance, children, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,593458
316734896,"Define ""Normal""",Julie Anne Peters,2000,196,"young-adult, fiction, romance, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,337929
393960420,Sister Carrie,Theodore Dreiser,1900,580,"fiction, history, historical fiction, biography, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,18537748
143039024,The Quiet American,Graham Greene,1955,180,"fiction, history, historical fiction, biography, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,2152551
1563899809,"Y: The Last Man, Vol. 1: Unmanned",Brian K. Vaughan,2003,130,"comics, graphic, fiction, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"1425228, 19128556"
1401204872,Y: The Last Man Vol. 5: Ring of Truth,Brian K. Vaughan,2004,192,"comics, graphic, fiction, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.3,"2153206, 10683383"
1416517170,Awaken Me Darkly,Gena Showalter,2005,306,"fantasy, paranormal, romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"6478941, 16103243, 2746808, 6633597, 15737277"
439829119,The Dead of the Night,John Marsden,1994,264,"young-adult, fiction, mystery, thriller, crime, romance, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,1149644
743271327,Brokeback Mountain,Annie Proulx,1997,55,"fiction, romance, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"334081, 1435622, 2394184"
316193577,The Legend of Eli Monpress,Rachel Aaron,2012,1040,"fantasy, paranormal, fiction, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"18483991, 15938166, 16617961, 17976650, 14346450, 16404567"
1841954802,Under the Skin,Michel Faber,2000,296,"fiction, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,919765
1416527265,The Little Lady Agency,Hester Browne,2005,406,"romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,"333021, 14600859"
60732067,Much Ado About You,Eloisa James,2004,391,"history, historical fiction, biography, romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"13397292, 6838480, 14355381, 2523360, 2462571"
425210626,"Interlude in Death (In Death, #12.5)",J.D. Robb,2001,88,"mystery, thriller, crime, romance, fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"4924300, 13586954, 10253426"
038081093X,Excavation,James Rollins,2000,416,"mystery, thriller, crime, fiction, history, historical fiction, biography, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,955290
60531827,Airborn,Kenneth Oppel,2004,544,"young-adult, fantasy, paranormal, fiction, romance, history, historical fiction, biography, children, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"6444304, 2054929, 15753447"
393332144,The Talented Mr. Ripley,Patricia Highsmith,1955,273,"fiction, mystery, thriller, crime, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"1724756, 2193257"
1416509372,On Basilisk Station,David Weber,1992,458,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"92799, 5366624"
380714752,The True Confessions of Charlotte Doyle,Avi,1990,,"fiction, history, historical fiction, biography, young-adult, children, mystery, thriller, crime, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"398480, 1322641"
140345809,House of Stairs,William Sleator,1974,176,"young-adult, fiction, fantasy, paranormal, mystery, thriller, crime, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"2527702, 1964961"
440242177,To Tame a Highland Warrior,Karen Marie Moning,1999,366,"history, historical fiction, biography, romance, fantasy, paranormal, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"2734350, 7360371"
765348810,House of Chains,Steven Erikson,2004,1021,"fantasy, paranormal, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.3,20230
033041335X,Sons of Fortune,Jeffrey Archer,2002,608,"fiction, mystery, thriller, crime, history, historical fiction, biography, non-fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"1475716, 15930583"
425221741,Revealed,Kate Noble,2005,,"history, historical fiction, biography, romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"6013653, 944648, 6765046, 41439213, 14520408, 7126917, 17913980"
7531672,The Book of You,Claire Kendal,2014,361,"mystery, thriller, crime, fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,"25337761, 34433846, 23752898, 21887252, 26490077, 21773243"
60741872,"Alas, Babylon",Pat Frank,1959,323,"fiction, fantasy, paranormal, history, historical fiction, biography, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"1650913, 963772, 123788"
64408566,Our Only May Amelia,Jennifer L. Holm,1999,272,"fiction, history, historical fiction, biography, children, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,264050
60821442,Last Days of Summer,Steve Kluger,1998,368,"fiction, history, historical fiction, biography, young-adult, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.4,18190646
1416523855,One Night With A Prince,Sabrina Jeffries,2005,,"history, historical fiction, biography, romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"1018976, 6474774, 2523360, 4903440, 14532750, 14090854, 13293409"
1421503298,Ying Lan Gao Xiao hosutoBu  5,Bisco Hatori,2005,176,"romance, comics, graphic, young-adult, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.5,1142652
679744479,Written on the Body,Jeanette Winterson,1992,192,"fiction, romance, poetry",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"3222860, 21399644"
1416924981,Among the Hidden,Margaret Peterson Haddix,1998,153,"young-adult, fiction, children, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"322502, 1220077"
553804693,The Republic of Thieves,Scott Lynch,2013,650,"fantasy, paranormal, fiction, romance, mystery, thriller, crime, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"24566794, 17145858, 26109965, 21528629, 19082135, 19232746, 14150105, 302782"
451200187,Nemesis,Agatha Christie,1971,224,"mystery, thriller, crime, fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,1576206
1569317143,uzumaki 1,Junji Ito,1998,208,"comics, graphic, fiction, fantasy, paranormal, mystery, thriller, crime, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.3,1090468
067166154X,Sylvester and the Magic Pebble,William Steig,1969,32,"children, fantasy, paranormal, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,513903
553803727,Foundation and Empire,Isaac Asimov,1952,256,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"1397287, 1882596, 1668837, 69059, 2622804"
061858532X,A Certain Slant of Light,Laura Whitcomb,2005,282,"young-adult, fantasy, paranormal, romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"6558833, 18015113, 13155646, 6551896, 13649708, 3221515, 3918521, 322381, 21770911"
743253973,A Separate Peace,John Knowles,1959,204,"young-adult, fiction, history, historical fiction, biography, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,49325401
393327655,"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,2004,348,"non-fiction, history, historical fiction, biography, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,1043242
310257670,"Last Light (Restoration, Book 1)",Terri Blackstock,2005,381,"fiction, mystery, thriller, crime, romance, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,1832531
185723135X,Use of Weapons,Iain M. Banks,1990,411,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,2926628
446361887,Mind of My Mind,Octavia E. Butler,1977,224,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,1441654
441014178,Melusine,Sarah Monette,2005,477,"fantasy, paranormal, fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,"6474599, 599724, 2312276, 1453593, 1630464"
345544110,"Release Me (Stark Trilogy, #1)",J. Kenner,2013,352,"romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"24158696, 21965727, 21996351, 21943963, 21579559, 23529666"
1400033411,Beloved,Toni Morrison,1987,324,"fiction, history, historical fiction, biography, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"4703, 3159084, 1373440"
1932100016,The Sheep Look Up,John Brunner,1972,388,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"797220, 313880"
812520475,Eon,Greg Bear,1984,512,"fiction, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"2611291, 598009"
689841582,"Are You There God? It's Me, Margaret",Judy Blume,1970,149,"young-adult, fiction, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,827585
62118455,"The Hero's Guide to Storming the Castle (The League of Princes, #2)",Christopher Healy,2013,477,"fantasy, paranormal, children, fiction, young-adult, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"21540936, 18495143, 21545629"
1416500340,Silas Marner: The Weaver of Raveloe,George Eliot,1861,262,"fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,4998726
439286069,Freak the Mighty,Rodman Philbrick,1993,169,"young-adult, fiction, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"1017370, 636261"
886774004,Arrow's Fall,Mercedes Lackey,1988,319,"fantasy, paranormal, fiction, young-adult, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,142678
743451503,The Beautiful and Damned,F. Scott Fitzgerald,1922,422,"fiction, romance, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,2138313
6512380,Colour Scheme,Ngaio Marsh,1943,320,"mystery, thriller, crime, fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,2526481
684842386,A Shilling for Candles,Josephine Tey,1936,240,"mystery, thriller, crime, fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,1093038
778322335,A Perfect Evil,Alex Kava,2000,461,"mystery, thriller, crime, fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"507263, 3236458, 1952659, 888608"
312987021,The Awakening,L.A. Banks,2003,300,"fantasy, paranormal, romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,269520
61020702,The Light Fantastic,Terry Pratchett,1986,241,"fantasy, paranormal, fiction, comics, graphic, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,106003
515130389,Carolina Moon,Nora Roberts,2000,470,"romance, mystery, thriller, crime, fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"545467, 2072408"
843945656,The Switch,Lynsay Sands,1999,362,"history, historical fiction, biography, romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"679382, 6400223, 451134"
031256998X,Autumn,David Moody,2001,308,"fiction, fantasy, paranormal, mystery, thriller, crime, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,"6536772, 10770722, 10513867"
425206807,The Perfect Waltz,Anne Gracie,2005,341,"history, historical fiction, biography, romance, fiction, children, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"15333294, 2556108, 6474774, 4651734, 3619199, 3017662, 16022860"
688135633,Seven Daughters and Seven Sons,Barbara Cohen,1982,224,"fiction, history, historical fiction, biography, young-adult, romance, fantasy, paranormal, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,1592006
345515633,Last to Die,Tess Gerritsen,2012,338,"mystery, thriller, crime, fiction, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"18077623, 16822187"
778300757,Charlie All Night,Jennifer Crusie,1995,251,"romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,"1434730, 5090918"
075280944X,The Last Coyote,Michael Connelly,1995,400,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,1686300
1476709157,The Ophelia Cut,John Lescroart,2013,415,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,21998943
143037145,The Memory Keeper's Daughter,Kim Edwards,2005,401,"fiction, history, historical fiction, biography, mystery, thriller, crime, romance, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,"3764682, 1649, 1581343, 6520850, 1617177, 1191096, 6863383, 3345089"
756402972,Stone of Farewell,Tad Williams,1990,,"fantasy, paranormal, fiction, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,940528
1455549002,The Edge of Always,J.A. Redmerski,2013,412,"romance, young-adult, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"23569381, 24961661, 23903667, 21985997, 21502991, 24333997, 24326196, 23634640, 23578470"
1421520184,Pu Deng gaita 1,Yuuki Obata,2002,192,"romance, comics, graphic, young-adult, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"1715323, 6630901"
380756277,Prisoner of my desire,Johanna Lindsey,1991,425,"history, historical fiction, biography, romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"979799, 414576"
385340397,A Breath of Snow and Ashes,Diana Gabaldon,2005,980,"history, historical fiction, biography, romance, fiction, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.4,"3754715, 594714, 10935124, 3723657"
078915479X,The Story of an Hour,Kate Chopin,1894,32,"fiction, history, historical fiction, biography, poetry",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"2902834, 18439257, 905684, 15161007, 17352354, 89324"
440243068,The Gilded Web (Web #1),Mary Balogh,1989,480,"romance, history, historical fiction, biography, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,256253
425192792,Goddess of the Sea,P.C. Cast,2003,404,"fiction, fantasy, paranormal, romance, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"6494266, 15779974"
380752859,For Love of Evil,Piers Anthony,1988,330,"fiction, fantasy, paranormal, young-adult, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"1928459, 3419, 1915001"
373771088,Sarah's Child,Linda Howard,1985,251,"romance, fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,1814116
778324338,Poison Study,Maria V. Snyder,2005,409,"fantasy, paranormal, young-adult, fiction, romance, mystery, thriller, crime, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"75393, 94425, 6773942, 1124161, 21383294, 14393761, 4398231, 2566190, 19197606"
763620912,"The Earth, My Butt, and Other Big Round Things",Carolyn Mackler,2003,256,"young-adult, fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"2337116, 249859, 2857613"
312150601,Behind the Scenes at the Museum,Kate Atkinson,1995,,"fiction, history, historical fiction, biography, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,6763489
316926345,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,Evelyn Waugh,1945,351,"fiction, history, historical fiction, biography, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"2555382, 4574850, 2225358, 6132856"
1401204252,Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison,1989,216,"comics, graphic, fiction, mystery, thriller, crime, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"5771048, 15805031, 103163"
843955430,The Girl Next Door,Jack Ketchum,1989,370,"fiction, mystery, thriller, crime, non-fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"1204376, 876713, 9053013"
61976229,The Mirage,Matt Ruff,2012,432,"fiction, history, historical fiction, biography, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,"16947025, 13731207, 7099786, 15707870, 18110525"
1570719586,God-Shaped Hole,Tiffanie DeBartolo,2002,336,"romance, fiction, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"45738691, 23757283, 22000642, 24089039, 24175213, 21366587, 26680492"
152063846,Jessica's Guide to Dating on the Dark Side,Beth Fantaskey,2000,351,"young-adult, romance, fantasy, paranormal, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"2513618, 14529719, 5002281, 8200956, 13291317, 15018468, 14810636, 7252832, 6803518"
60559144,Gentlemen and Players,Joanne Harris,2005,422,"fiction, mystery, thriller, crime, romance, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,10495658
60733489,Beggars in Spain,Nancy Kress,1993,400,"fiction, fantasy, paranormal, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"2640708, 14066792, 953721"
1845029844,Did I Mention I Love You?,Estelle Maskame,2015,422,"romance, young-adult, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,45632577
312976275,Hot Six,Janet Evanovich,2000,336,"mystery, thriller, crime, fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"7065611, 6570102, 62899, 124756"
441014569,The Becoming,Jeanne C. Stein,2004,293,"fantasy, paranormal, fiction, romance, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,"1798613, 6467488, 81980, 2086847, 4556231, 11202662, 6785037, 5331873"
1405034149,Kushiel's Avatar,Jacqueline Carey,2003,702,"fantasy, paranormal, romance, fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.4,26041
553575023,Charming the Prince,Teresa Medeiros,1999,342,"history, historical fiction, biography, romance, fiction, fantasy, paranormal, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"524854, 478705, 1197159"
1101138173,Dolores Claiborne,Stephen King,1992,384,"mystery, thriller, crime, fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,955346
439324599,Cut,Patricia McCormick,2000,151,"young-adult, fiction, non-fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"9776802, 262531, 156439, 4620119, 4341875"
345366239,The Eight,Katherine Neville,1988,598,"fiction, mystery, thriller, crime, history, historical fiction, biography, fantasy, paranormal, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,1225097
380805685,Scandal's Bride,Stephanie Laurens,1998,432,"romance, history, historical fiction, biography, fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,2523360
425197549,Guilty Pleasures,Laurell K. Hamilton,1993,355,"fantasy, paranormal, romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,"2577848, 7228948, 2756601, 3247694, 7087993, 6328275, 4704444, 200700, 14289"
006105366X,My Soul to Keep,Tananarive Due,1997,346,"fiction, fantasy, paranormal, history, historical fiction, biography, mystery, thriller, crime, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"56024, 1330000"
786716088,After the Armistice Ball,Catriona McPherson,2005,303,"mystery, thriller, crime, fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,"7172818, 7261423, 2753859, 3368269"
689872992,"The Clique (The Clique, #1)",Lisi Harrison,2004,220,"young-adult, fiction, romance, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,1422594
373293720,His Lady Mistress,Elizabeth Rolls,2004,299,"romance, history, historical fiction, biography, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.4,"2767516, 2499479, 48292921, 7189939"
441012175,A Talent for War,Jack McDevitt,1989,310,"fiction, mystery, thriller, crime, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,"21526593, 1113882"
60776242,"Kissing Coffins (Vampire Kisses, #2)",Ellen Schreiber,2005,224,"young-adult, fantasy, paranormal, romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,"4984643, 5002281, 2227212, 2302138"
1844080412,Frenchman's Creek,Daphne du Maurier,1941,260,"fiction, history, historical fiction, biography, romance, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,1086042
61122165,Taming the Beast,Emily Maguire,2004,336,"fiction, romance, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,"17397111, 26036931, 26114046"
425266656,Risky Game,Tracy Solheim,2014,320,"romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"23756381, 48169001"
446676977,"Wild Seed (Patternmaster, #1)",Octavia E. Butler,1980,320,"fiction, fantasy, paranormal, history, historical fiction, biography, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,"41083, 56024, 7036603"
156032643,Life Mask,Emma Donoghue,2004,672,"fiction, history, historical fiction, biography, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,1413038
64407721,Kissing the Witch: Old Tales in New Skins,Emma Donoghue,1997,228,"fantasy, paranormal, fiction, young-adult, romance, history, historical fiction, biography, non-fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,990435
345470583,xxxHOLiC #1,CLAMP,2003,178,"fantasy, paranormal, comics, graphic, fiction, young-adult, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,890902
312380348,Iron House,John Hart,2012,421,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,"15219030, 13867623"
